Comment,Designator,Footprint,Quantity,LCSC Part #,Manufacturer Part,Manufacturer
19-217/BHC-ZL1M2RY/3T,BLUE,LED0603-R-RD,1,C72041,19-217/BHC-ZL1M2RY/3T,EVERLIGHT
100uF,C1,CAP-SMD_L3.5-W2.8,1,C16133,TAJB107K006RNJ,AVX
100nF,"C2,C4,C7",C0402_NEW,3,C1525,CL05B104KO5NNNC,SAMSUNG
1uF,"C3,C5",C0402,2,C52923,CL05A105KA5NQNC,SAMSUNG
22uF,C6,C0805,1,C602037,CL21A226MAYNNNE,Samsung Electro-Mechanics
22uF,"C8,C9,C10,C11,C12",C0603,5,C59461,CL10A226MQ8NRNC,SAMSUNG
100nF,C13,C0402,1,C307331,CL05B104KB54PNC,Samsung Electro-Mechanics
1N4148,"D1,D2,D3,D9",SOD-323_L1.8-W1.3-LS2.5-RD,4,C2128,1N4148WS T4,CJ
SMF30A,D4,SOD-123_L2.8-W1.8-LS3.7-RD,1,C366558,SMF30A,DOWO
SS34,D5,DO-214AC_L4.3-W2.7-LS5.3-RD,1,C8678,SS34,MDD
DSS34,"D6,D7",SOD-123_L2.8-W1.8-LS3.7-RD,2,C84632,DSS34,STARSEA
LESD5D5.0CT1G,"D8,D10,D11",SOD-523_L1.2-W0.8-LS1.6-BI,3,C383211,LESD5D5.0CT1G,Leshan Radio
MF-MSMF110/16-2,F1,F1812,1,C210834,MF-MSMF110/16-2,BOURNS
19-217/GHC-YR1S2/3T,GREEN,LED0603-R-RD,1,C72043,19-217/GHC-YR1S2/3T,EVERLIGHT
10uH,L1,IND-SMD_L6.0-W6.0_SLP6028S,1,C254862,SLP6028S100MTT,Sunltech Tech
GT-TC029B-H025-L1N,"PROG,RESET",SW-SMD_L3.9-W2.9-P4.15-LS5.0,2,C843669,GT-TC029B-H025-L1N,G-Switch
SS8050,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,C2150,SS8050,CJ
10K,"R1,R3,R7,R8,R10,R17",R0402,6,C25744,0402WGF1002TCE,UniOhm
120,R2,R1206,1,C159715,RTT061200FTP,RALEC
91K,R4,R0402,1,C4147,0402WGF9102TCE,UniOhm
33K,"R5,R6,R9",R0402,3,C25779,0402WGF3302TCE,UniOhm
5.1K,"R11,R12",R0402,2,C25905,0402WGF5101TCE,UniOhm
2.2K,R13,R0402,1,C25879,0402WGF2201TCE,UniOhm
500,R14,R0402,1,C25117,0402WGF4700TCE,UniOhm
1K,R15,R0402,1,C11702,0402WGF1001TCE,UniOhm
12K,R16,R0402,1,C25752,0402WGF1202TCE,UniOhm
120K,R18,R0402,1,C25750,0402WGF1203TCE,UniOhm
MR01A-01211,SD-CARD,TF-SMD_MR01A-01211,1,C479742,MR01A-01211,ATOM(爱特姆)
ESP32-S3-WROOM-1(N16R8),U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,C2913202,ESP32-S3-WROOM-1(N16R8),ESPRESSIF(乐鑫)
SN65HVD230DR,U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,C12084,SN65HVD230DR,TI
ME2807A33M3G,U3,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,C236755,ME2807A33M3G,Nanjing Micro One Elec
LMR14006XDDCR,U4,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,C478074,LMR14006XDDCR,Texas Instruments
MT9700,U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,C89855,MT9700,AEROSEMI
GT-USB-7010ASV,USBC,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,C2988369,GT-USB-7010ASV,G-Switch(品赞)
19-213/Y2C-CQ2R2L/3T(CY),YELLOW,LED0603-R-RD,1,C72038,19-213/Y2C-CQ2R2L/3T(CY),EVERLIGHT
